Date,Away,AS,Home,HS,OT,Detail Path,Game Type,Detail Data,Rand
1997-04-18,CLE,82,DET,75,N,cle-vs-det-0029601169,regular,1,8
2004-07-23,SAS,-,DEN,-,N,sas-vs-den-0010401027,preseason,2,9
2011-01-12,SAS,91,MIL,84,N,sas-vs-mil-0021000566,regular,1,2
2000-12-23,CLE,92,ORL,111,N,cle-vs-orl-0020000385,regular,1,6
2008-03-20,SAS,102,CHI,80,N,sas-vs-chi-0020701016,regular,1,3
2019-01-31,MIL,105,TOR,92,N,mil-vs-tor-0021800766,regular,1,6
1999-11-17,CLE,103,BOS,114,N,cle-vs-bos-0029900110,regular,1,2
2017-02-07,ORL,104,HOU,128,N,orl-vs-hou-0021600780,regular,1,0
2010-04-07,ATL,88,DET,90,N,atl-vs-det-0020901160,regular,1,6
2015-11-15,TOR,101,SAC,107,N,tor-vs-sac-0021500150,regular,1,6
2022-01-05,PHI,116,ORL,106,N,phi-vs-orl-0022100568,regular,1,3
2008-04-05,WAS,99,CHI,87,N,was-vs-chi-0020701141,regular,1,1
2021-02-19,OKC,85,MIL,98,N,okc-vs-mil-0022000453,regular,1,4
2005-11-25,CHA,89,BOS,90,N,cha-vs-bos-0020500171,regular,1,5
2005-01-23,MIL,101,NYK,96,N,mil-vs-nyk-0020400594,regular,1,7
2017-01-02,ORL,115,NYK,103,N,orl-vs-nyk-0021600516,regular,1,3
2016-01-04,HOU,93,UTA,91,N,hou-vs-uta-0021500518,regular,1,0
1998-03-29,CHH,82,CLE,97,N,chh-vs-cle-0029701028,regular,1,9
1995-04-29,CLE,90,NYK,84,N,cle-vs-nyk-0049400012,playoffs,1,3
1996-01-05,DAL,99,NJN,107,N,dal-vs-njn-0029500438,regular,1,8
2023-02-17,JKM,20,PAU,25,N,jkm-vs-pau-0032200006,regular,1,0
2003-01-23,DAL,107,PHI,94,N,dal-vs-phi-0020200603,regular,1,6
1997-02-20,DEN,68,IND,92,N,den-vs-ind-0029600753,regular,1,0
2008-03-02,DAL,104,LAL,108,Y,dal-vs-lal-0020700876,regular,1,3
2014-11-28,NOP,91,ATL,100,N,nop-vs-atl-0021400225,regular,1,2
2023-01-04,OKC,115,ORL,126,N,okc-vs-orl-0022200566,regular,1,1
2014-02-12,CLE,93,DET,89,N,cle-vs-det-0021300782,regular,1,2
2013-04-05,MIL,83,NYK,101,N,mil-vs-nyk-0021201128,regular,1,0
2005-09-12,No Games,-,No Games,-,-,-,-,2,7
2005-11-19,NOK,98,ORL,95,N,nok-vs-orl-0020500133,regular,1,2
2021-10-13,POR,74,PHX,119,N,por-vs-phx-0012100054,preseason,1,8
2005-01-04,SAC,105,NYK,98,N,sac-vs-nyk-0020400450,regular,1,8
2010-12-01,LAL,99,HOU,109,N,lal-vs-hou-0021000269,regular,1,3
1995-03-05,ATL,111,ORL,113,N,atl-vs-orl-0029400767,regular,1,0
2009-10-16,MIN,90,CHI,94,N,min-vs-chi-0010900068,preseason,1,8
2000-03-16,VAN,103,SEA,117,N,van-vs-sea-0029900929,regular,1,4
2005-11-26,WAS,82,CHA,100,N,was-vs-cha-0020500184,regular,1,7
2020-12-13,WAS,114,BKN,119,N,was-vs-bkn-0012000014,preseason,1,9
2010-01-02,MEM,128,PHX,103,N,mem-vs-phx-0020900485,regular,1,1
2004-12-20,MEM,82,LAL,72,N,mem-vs-lal-0020400358,regular,1,1
2021-06-15,MIL,108,BKN,114,N,mil-vs-bkn-0042000215,playoffs,1,8
2020-12-17,MIN,129,DAL,127,Y,min-vs-dal-0012000036,preseason,1,1
2021-03-29,MIN,107,BKN,112,N,min-vs-bkn-0022000709,regular,1,6
2021-10-15,BOS,100,MIA,121,N,bos-vs-mia-0012100059,preseason,1,7
2010-11-28,OKC,98,HOU,99,N,okc-vs-hou-0021000247,regular,1,0
2007-06-29,No Games,-,No Games,-,-,-,-,2,4
1996-12-19,MIN,105,SAC,112,N,min-vs-sac-0029600347,regular,1,2
2017-02-08,CLE,132,IND,117,N,cle-vs-ind-0021600783,regular,1,8
2000-12-09,GSW,114,UTA,125,N,gsw-vs-uta-0020000290,regular,1,1
2008-02-12,DET,94,ATL,90,N,det-vs-atl-0020700758,regular,1,2
2006-05-01,DAL,102,MEM,76,N,dal-vs-mem-0040500174,playoffs,1,3
2019-01-11,CLE,113,HOU,141,N,cle-vs-hou-0021800625,regular,1,6
2008-03-07,POR,103,MIL,101,N,por-vs-mil-0020700919,regular,1,9
2004-01-30,NYK,92,BOS,74,N,nyk-vs-bos-0020300663,regular,1,5
2012-03-04,MIA,83,LAL,93,N,mia-vs-lal-0021100547,regular,1,8
2017-12-08,DEN,103,ORL,89,N,den-vs-orl-0021700370,regular,1,6
2021-02-12,OKC,95,DEN,97,N,okc-vs-den-0022000401,regular,1,9
2002-10-08,SAS,-,PHI,-,N,sas-vs-phi-0010200010,preseason,2,5
2017-01-07,UTA,94,MIN,92,N,uta-vs-min-0021600556,regular,1,8
2014-10-09,UTA,109,POR,105,N,uta-vs-por-0011400024,preseason,1,2
2010-06-18,No Games,-,No Games,-,-,-,-,2,4
2012-03-28,SAS,117,SAC,112,N,sas-vs-sac-0021100750,regular,1,4
2021-01-03,BOS,122,DET,120,N,bos-vs-det-0022000085,regular,1,5
1996-02-26,IND,122,BOS,119,N,ind-vs-bos-0029500778,regular,1,1
2022-02-03,MIN,128,DET,117,N,min-vs-det-0022100782,regular,1,3
2020-06-15,No Games,-,No Games,-,-,-,-,2,7
2005-04-18,DEN,114,PHX,128,N,den-vs-phx-0020401207,regular,1,0
2007-03-10,NOK,86,UTA,96,N,nok-vs-uta-0020600933,regular,1,0
2009-11-27,MIL,90,OKC,108,N,mil-vs-okc-0020900228,regular,1,4
2019-01-27,SAC,108,LAC,122,N,sac-vs-lac-0021800736,regular,1,7
