Date,Detail Path,Action Number,Clock,Period,Team ID,Team Tricode,Person Id,Player Name,Player Init,xLegacy,yLegacy,Shot Distance,Shot Result,Field Goal,Score Home,Score Away,Points Total,Location,Description,Action Type,Sub-Type,Video Available,Action Id
2023-02-03,tor-vs-hou-0022200789,353.0,PT08M37.00S,3.0,1610612761.0,TOR,1630173.0,Achiuwa,P. Achiuwa,0.0,0.0,0.0,,0.0,,,0.0,v,Achiuwa Violation:Kicked Ball (S.Mehta),Violation,Kicked Ball,0.0,261.0
2022-12-15,nop-vs-uta-0022200426,265.0,PT05M18.00S,2.0,1610612762.0,UTA,1627736.0,Beasley,M. Beasley,0.0,0.0,0.0,,0.0,,,0.0,h,SUB: Clarkson FOR Beasley,Substitution,,0.0,198.0
2023-01-25,min-vs-nop-0022200724,453.0,PT02M38.00S,3.0,1610612750.0,MIN,1629669.0,Nowell,J. Nowell,-25.0,10.0,3.0,Made,1.0,65.0,82.0,147.0,v,Nowell 3' Running Layup (4 PTS) (Edwards 4 AST),Made Shot,Running Layup Shot,1.0,325.0
2022-10-23,was-vs-cle-0022200039,374.0,PT07M06.00S,3.0,1610612739.0,CLE,1628378.0,Mitchell,D. Mitchell,0.0,0.0,0.0,,0.0,73.0,59.0,132.0,h,Mitchell Free Throw 1 of 1 (22 PTS),Free Throw,Free Throw 1 of 1,1.0,273.0
2023-01-15,phi-vs-lal-0022200655,603.0,PT02M58.00S,4.0,1610612747.0,LAL,201566.0,Westbrook,R. Westbrook,-18.0,111.0,11.0,Made,1.0,107.0,106.0,213.0,h,Westbrook 11' Fadeaway Jumper (20 PTS),Made Shot,Fadeaway Jump Shot,1.0,428.0
2022-11-30,mia-vs-bos-0022200314,536.0,PT07M17.00S,4.0,1610612748.0,MIA,1628389.0,Adebayo,B. Adebayo,0.0,0.0,0.0,,0.0,,,0.0,v,Adebayo REBOUND (Off:1 Def:5),Rebound,Unknown,1.0,378.0
2022-12-03,hou-vs-gsw-0022200342,40.0,PT07M57.00S,1.0,1610612745.0,HOU,1629645.0,Porter Jr.,K. Porter Jr.,32.0,184.0,19.0,Missed,1.0,,,0.0,v,MISS Porter Jr. 19' Pullup Jump Shot,Missed Shot,Pullup Jump shot,1.0,28.0
2022-11-28,cha-vs-bos-0022200301,531.0,PT06M47.00S,4.0,1610612766.0,CHA,1630208.0,Richards,N. Richards,0.0,0.0,0.0,,0.0,,,0.0,v,Richards REBOUND (Off:2 Def:4),Rebound,Unknown,1.0,381.0
2022-11-28,ind-vs-lal-0022200308,135.0,PT02M55.00S,1.0,1610612747.0,LAL,201566.0,Westbrook,R. Westbrook,0.0,0.0,0.0,,0.0,,,0.0,h,Westbrook REBOUND (Off:0 Def:1),Rebound,Unknown,1.0,102.0
2023-01-24,den-vs-nop-0022200716,567.0,PT02M21.00S,4.0,1610612743.0,DEN,1628971.0,Brown,B. Brown,-237.0,32.0,24.0,Missed,1.0,,,0.0,v,MISS Brown 24' 3PT Jump Shot,Missed Shot,Jump Shot,1.0,417.0
2022-10-28,cha-vs-orl-0022200071,562.0,PT07M07.00S,4.0,1610612766.0,CHA,1628372.0,Smith Jr.,D. Smith Jr.,18.0,177.0,18.0,Missed,1.0,,,0.0,v,MISS Smith Jr. 18' Fadeaway Jumper,Missed Shot,Fadeaway Jump Shot,1.0,419.0
2023-01-14,cle-vs-min-0022200645,559.0,PT03M36.00S,4.0,1610612750.0,MIN,1629675.0,Reid,N. Reid,-66.0,36.0,8.0,Made,1.0,106.0,93.0,199.0,h,Reid 8' Driving Bank Hook Shot (17 PTS) (Edwards 7 AST),Made Shot,Driving Bank Hook Shot,1.0,403.0
2022-12-16,sac-vs-det-0022200429,308.0,PT02M25.00S,2.0,1610612765.0,DET,1631105.0,Duren,J. Duren,0.0,0.0,0.0,,0.0,,,0.0,h,Duren REBOUND (Off:4 Def:3),Rebound,Unknown,1.0,225.0
2022-11-14,atl-vs-mil-0022200204,516.0,PT01M06.00S,3.0,1610612749.0,MIL,203507.0,Antetokounmpo,G. Antetokounmpo,0.0,0.0,0.0,,0.0,,,0.0,h,G. Antetokounmpo REBOUND (Off:0 Def:5),Rebound,Unknown,1.0,377.0
